# TOTAL_GENES = 11758
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
x286         COVAR   11758     0.053773     0.064461     0.042316      0.10192
x287         COVAR   11758     0.037963     0.049143     0.033526      0.12876
x288         COVAR   11758    -0.018483    -0.022911     0.043663      0.66396
x289         COVAR   11758     0.029379     0.035636     0.047519      0.26821
x290         COVAR   11758     0.052017     0.067411      0.02918     0.037339
x291         COVAR   11758    -0.046006    -0.056353     0.045995      0.84139
x292         COVAR   11758    -0.040401    -0.051994     0.036988      0.86263
x293         COVAR   11758     0.059359     0.074857     0.039545     0.066684
x294         COVAR   11758    -0.053453    -0.066721     0.043785       0.8889
x295         COVAR   11758     -0.12046     -0.15393     0.039589      0.99882
x296         COVAR   11758    -0.021821    -0.026809     0.046106      0.68198
x297         COVAR   11758    -0.059221    -0.076468     0.039249      0.93432
x298         COVAR   11758    -0.016468    -0.020591     0.032867      0.69183
x299         COVAR   11758     0.034056     0.043409     0.031468      0.13959
x300         COVAR   11758     -0.03244    -0.041578      0.03567      0.81843
x301         COVAR   11758     0.059556     0.077566     0.029337     0.021188
x302         COVAR   11758    0.0080028     0.009887     0.035757      0.41146
x303         COVAR   11758    -0.080986     -0.10035     0.046382      0.95959
x304         COVAR   11758     0.022815     0.030876     0.023455      0.16537
x305         COVAR   11758     0.037558     0.047741     0.033332      0.12993
x306         COVAR   11758      0.02568     0.032788     0.032161       0.2123
x307         COVAR   11758     0.031581     0.038404     0.048177      0.25607
x308         COVAR   11758    0.0096118     0.011579     0.043289      0.41214
x309         COVAR   11758   0.00073128   0.00093179     0.036479        0.492
x310         COVAR   11758    -0.089169     -0.10953     0.046552      0.97227
x311         COVAR   11758     0.056789     0.070988     0.039125     0.073339
x312         COVAR   11758     0.052641     0.066289     0.038943      0.08824
x313         COVAR   11758   -0.0020753   -0.0025871      0.04299      0.51925
x314         COVAR   11758    -0.085897     -0.10883     0.039112      0.98595
x315         COVAR   11758   -0.0038035   -0.0048472     0.028969      0.55223
x316         COVAR   11758    -0.013494    -0.018553     0.025237      0.70357
x317         COVAR   11758    -0.036049    -0.046268     0.038705      0.82416
x318         COVAR   11758    0.0027367    0.0033981     0.040679      0.47318
x319         COVAR   11758  -3.2736e-05  -4.0953e-05     0.038185      0.50034
x320         COVAR   11758     0.039527     0.050265     0.039529      0.15868
x321         COVAR   11758    -0.035775    -0.046971     0.032035      0.86793
x322         COVAR   11758     0.031132     0.038582     0.041593      0.22709
x323         COVAR   11758    -0.076067    -0.094352     0.041174      0.96765
x324         COVAR   11758    -0.022751    -0.027832     0.044772      0.69432
x325         COVAR   11758     0.059928     0.074359      0.04023     0.068175
x326         COVAR   11758    -0.035784     -0.04406     0.047793      0.77298
x327         COVAR   11758     -0.05159    -0.066407     0.038294      0.91103
x328         COVAR   11758     0.049945     0.062192     0.039261      0.10168
x329         COVAR   11758     0.041015     0.051367     0.037481      0.13692
x330         COVAR   11758     0.020217     0.025463     0.038347      0.29902
x331         COVAR   11758     -0.14645     -0.19308       0.0379      0.99994
x332         COVAR   11758    -0.075789    -0.096347     0.036922      0.97994
x333         COVAR   11758     0.020778     0.026736     0.033631      0.26835
x334         COVAR   11758    -0.040594    -0.052582     0.035632      0.87269
x335         COVAR   11758    0.0051648    0.0067183     0.029953      0.43155
x336         COVAR   11758     0.097276      0.12182      0.03541    0.0030108
x337         COVAR   11758      0.11477      0.14351     0.036658   0.00087399
x338         COVAR   11758    -0.071788    -0.089254     0.045384      0.94314
x339         COVAR   11758     0.027884      0.03498     0.036828      0.22449
x340         COVAR   11758     0.028793     0.036446     0.034228      0.20013
x341         COVAR   11758     0.038942     0.050097     0.032532      0.11565
x342         COVAR   11758     0.018822     0.023766     0.031225      0.27333
x343         COVAR   11758     0.043027      0.05227     0.037004      0.12247
x344         COVAR   11758      0.02974     0.037162     0.041373      0.23613
x345         COVAR   11758    0.0063949    0.0077387     0.045901       0.4446
x346         COVAR   11758    -0.035994    -0.045339     0.039844      0.81683
x347         COVAR   11758     -0.10384     -0.12834     0.044993      0.98949
x348         COVAR   11758     0.024191      0.03112     0.036138      0.25162
x349         COVAR   11758    0.0025929    0.0032063     0.036167      0.47142
x350         COVAR   11758    -0.017516    -0.022509      0.03723      0.68099
x351         COVAR   11758    -0.086056     -0.10724     0.045535       0.9706
x352         COVAR   11758    -0.047486    -0.061625     0.037816      0.89537
x353         COVAR   11758     0.053655     0.064562      0.04254      0.10362
x354         COVAR   11758     0.051019     0.066085     0.030987     0.049846
x355         COVAR   11758     0.038014     0.047439     0.031666        0.115
x356         COVAR   11758     0.066691     0.083108     0.039622     0.046185
